date,open,high,low,close,volume,openint,etf_close,etf_vol,MA7,MA21,RSI,MACD,Target
2014-03-19,40.63,41.084,40.345,40.905,39356,0,141.14,23266.0,40.60814285714286,40.35704761904761,58.48824973693444,0.19754788121707634,40.846
2014-03-20,41.131,41.15,40.647,40.846,8249,0,139.63,51001.0,40.685428571428574,40.40533333333333,59.56420789426681,0.20502420743115124,40.345
2014-03-21,41.008,41.235,40.325,40.345,7266,0,139.96,14764.0,40.606857142857145,40.410761904761905,57.82902722385987,0.16857945779909045,40.571
2014-03-24,40.523,41.056,40.221,40.571,11333,0,139.05,43256.0,40.64485714285714,40.441904761904766,57.73375043448036,0.15613323563380987,40.63
2014-03-25,41.5,41.52,40.63,40.63,20229,0,138.67,36041.0,40.65185714285714,40.445190476190476,49.42815554169266,0.14930917854552916,40.637
2014-03-26,40.771,40.905,40.457,40.637,6012,0,137.17,62400.0,40.62728571428572,40.45909523809524,47.52966558791802,0.14281957052997285,41.396
2014-03-27,40.571,41.653,40.571,41.396,11583,0,136.52,92961.0,40.761428571428574,40.53814285714285,51.60199004975125,0.19665455489921158,41.54
2014-03-28,41.624,41.814,41.49,41.54,31506,0,137.22,21819.0,40.85214285714285,40.61447619047619,55.4947283049473,0.24807906339477626,41.406
2014-03-31,41.624,41.624,41.358,41.406,10163,0,138.12,35690.0,40.93214285714286,40.692142857142855,62.588611936885414,0.27485234995517516,41.52
2014-04-01,41.49,41.72,41.367,41.52,27731,0,139.05,26003.0,41.1,40.79109523809524,58.01898896587117,0.30179036820101146,41.595
2014-04-02,41.283,41.614,40.647,41.595,5658,0,140.17,22275.0,41.24628571428571,40.882238095238094,69.0715552927262,0.3254393526591315,40.905
2014-04-03,41.367,41.566,40.826,40.905,5540,0,140.7,19707.0,41.28557142857143,40.892714285714284,54.2676501580611,0.2852163136715191,41.653
2014-04-04,41.406,42.231,41.339,41.653,12966,0,141.3,18099.0,41.43071428571428,40.930190476190475,59.77757182576462,0.31012172399550764,41.426
2014-04-07,41.833,41.908,41.225,41.426,6634,0,139.31,58149.0,41.435,40.93928571428572,61.56048675733718,0.3079920970528107,41.976
2014-04-08,41.833,42.429,41.833,41.976,2913,0,140.33,27726.0,41.49728571428572,40.98585714285714,62.473794549266245,0.3466883483421199,42.145
2014-04-09,42.305,42.315,41.823,42.145,4908,0,140.74,43409.0,41.60285714285715,41.07347619047619,64.75130592777663,0.38653654125150183,41.671
2014-04-10,42.09,42.09,41.671,41.671,3037,0,141.82,25419.0,41.62442857142857,41.11042857142858,65.15082266910423,0.3755396947702252,41.71
2014-04-11,41.634,41.889,41.558,41.71,4798,0,141.79,34221.0,41.64085714285714,41.17733333333333,63.59513010264983,0.3657553883274005,41.986
2014-04-14,41.861,42.098,41.576,41.986,7872,0,142.86,14838.0,41.79528571428572,41.24423809523809,65.38810712664545,0.37593856261490544,41.614
2014-04-15,41.994,41.994,41.416,41.614,3305,0,140.55,51844.0,41.78971428571429,41.28257142857143,60.2389436176902,0.34995741924910817,41.785
2014-04-16,41.47,41.794,41.426,41.785,3643,0,140.02,39780.0,41.841,41.34580952380952,54.64977289027009,0.33925472949813695,41.775
2014-04-17,41.814,41.908,41.244,41.775,6402,0,137.56,75993.0,41.81228571428572,41.3872380952381,52.9019510990368,0.3262055596989626,41.244
2014-04-21,41.775,41.775,41.244,41.244,6352,0,136.66,33839.0,41.683571428571426,41.406190476190474,48.17813765182188,0.2699054345320988,41.49
2014-04-22,41.53,41.72,41.406,41.49,6616,0,136.66,31839.0,41.657714285714285,41.46071428571428,49.67234600262122,0.2423437360733658,41.235
2014-04-23,40.581,41.454,40.581,41.235,6317,0,136.92,29602.0,41.58985714285715,41.49233333333333,46.21689785624213,0.19764618045955729,41.861
2014-04-24,41.49,41.908,41.101,41.861,15635,0,137.74,34894.0,41.572,41.55095238095238,60.18321261184487,0.2103116718680056,40.809
2014-04-25,41.728,41.833,40.809,40.809,38699,0,138.56,40582.0,41.457,41.55914285714285,41.556622649059605,0.13391783554279613,41.027
2014-04-28,41.18,41.54,40.799,41.027,37881,0,138.3,23871.0,41.34871428571429,41.54157142857143,46.001202645820804,0.08992929898552404,41.264
2014-04-29,41.406,41.605,41.008,41.264,32914,0,139.26,23725.0,41.27571428571429,41.52842857142857,42.386655260906814,0.07334649343226829,41.814
2014-04-30,41.445,41.814,41.302,41.814,3914,0,138.91,21977.0,41.357142857142854,41.54785714285714,46.727308681036156,0.1033930532588343,40.391
2014-05-01,41.843,42.429,39.917,40.391,19645,0,138.84,17934.0,41.20014285714286,41.49409523809524,39.343989343989335,0.012239867330833931,41.436
2014-05-02,41.605,41.946,40.875,41.436,22083,0,140.07,18991.0,41.22885714285714,41.48652380952381,48.04620650313747,0.024045891263810404,42.496
2014-05-05,41.634,42.648,41.14,42.496,21764,0,141.18,16884.0,41.31957142857143,41.562285714285714,53.27090815802978,0.11758000242196687,42.231
2014-05-06,42.42,42.667,42.098,42.231,21975,0,141.65,22800.0,41.52271428571429,41.58980952380952,54.01222525686048,0.16838216925617644,42.676
2014-05-07,42.449,42.762,42.231,42.676,26369,0,139.48,27384.0,41.75828571428571,41.64933333333333,55.59462514127844,0.2417641270977242,42.639
2014-05-08,42.762,43.055,42.429,42.639,5752,0,139.92,18032.0,41.95471428571428,41.68090476190476,55.40675844806009,0.2935504003114957,42.705
2014-05-09,42.629,42.885,42.429,42.705,23619,0,139.24,64938.0,42.082,41.70757142857143,59.70764119601327,0.3360433448486475,42.383
2014-05-12,43.048,43.34,42.108,42.383,21005,0,140.01,10629.0,42.36657142857143,41.741476190476185,55.87422707538482,0.33981937438802845,42.259
2014-05-13,42.383,43.236,42.259,42.259,10086,0,141.64,23740.0,42.48414285714286,41.76761904761905,56.85408299866132,0.32901347873497144,42.345
2014-05-14,42.392,43.094,41.53,42.345,37582,0,144.48,40010.0,42.46257142857143,41.78471428571429,53.4920634920635,0.32365827867933206,42.96
2014-05-15,42.524,43.236,42.287,42.96,51960,0,142.68,28482.0,42.56671428571428,41.84880952380953,66.56399199137535,0.36483402474765825,44.507
2014-05-16,43.17,44.544,42.544,44.507,41110,0,142.56,22909.0,42.82828571428571,41.97842857142857,72.24495014062899,0.5163439793624676,44.554
2014-05-19,44.516,44.981,44.146,44.554,26761,0,143.0,30978.0,43.10185714285715,42.1107619047619,71.55398322851153,0.6329133856349003,43.852
2014-05-20,44.876,44.876,43.843,43.852,9996,0,143.1,39002.0,43.26571428571429,42.234952380952386,63.090955806783114,0.6610300043881168,43.871
2014-05-21,44.221,44.221,43.682,43.871,9238,0,143.44,22298.0,43.47828571428571,42.348333333333336,77.27272727272727,0.6770412583470389,44.25
